year,quarter,month,administration,region,arrests_total,arrests_custody,arrests_atlarge,case_removals,cases_pending,case_other,male,female,unknown_gender,age_minor,age_adult,age_elder
2023,Q1,Dec,Biden,Africa,88,46,42,1,85,2,70,18,0,6,81,1
2023,Q1,Dec,Biden,Asia,163,60,103,5,147,11,132,31,0,2,159,2
2023,Q1,Dec,Biden,Canada,13,9,4,2,9,2,10,3,0,0,12,1
2023,Q1,Dec,Biden,Central America & Caribbean,4107,1969,2138,721,3220,166,3446,646,15,211,3883,13
2023,Q1,Dec,Biden,Europe,122,57,65,22,72,28,82,38,2,15,105,2
2023,Q1,Dec,Biden,Mexico,2795,2151,644,1482,1257,56,2601,180,14,47,2725,23
2023,Q1,Dec,Biden,Oceania,10,7,3,5,5,0,9,1,0,0,10,0
2023,Q1,Dec,Biden,South America,2346,702,1644,106,2168,72,1771,575,0,296,2043,7
2023,Q1,Nov,Biden,Africa,113,47,66,8,102,3,93,19,1,3,109,1
2023,Q1,Nov,Biden,Asia,255,87,168,6,228,21,210,44,1,13,239,3
2023,Q1,Nov,Biden,Canada,7,6,1,2,5,0,5,2,0,0,6,1
2023,Q1,Nov,Biden,Central America & Caribbean,3526,1712,1814,775,2638,113,2783,729,14,230,3286,10
2023,Q1,Nov,Biden,Europe,166,54,112,27,115,24,132,33,1,15,149,2
2023,Q1,Nov,Biden,Mexico,2967,2191,776,1605,1290,72,2751,201,15,51,2887,29
2023,Q1,Nov,Biden,Oceania,22,13,9,4,18,0,18,3,1,0,22,0
2023,Q1,Nov,Biden,South America,1677,322,1355,89,1543,45,1095,581,1,287,1384,6
2023,Q1,Oct,Biden,Africa,132,45,87,4,128,0,118,13,1,4,128,0
2023,Q1,Oct,Biden,Asia,406,109,297,13,378,15,376,30,0,7,396,3
2023,Q1,Oct,Biden,Canada,18,9,9,1,12,5,14,4,0,0,16,2
2023,Q1,Oct,Biden,Central America & Caribbean,3907,1664,2243,814,2950,143,3041,856,10,255,3637,15
2023,Q1,Oct,Biden,Europe,227,62,165,23,174,30,173,54,0,19,207,1
2023,Q1,Oct,Biden,Mexico,3067,2243,824,1674,1343,50,2866,184,17,49,2994,24
2023,Q1,Oct,Biden,Oceania,12,6,6,1,11,0,11,1,0,0,12,0
2023,Q1,Oct,Biden,South America,2142,387,1755,104,1976,62,1372,767,3,357,1776,9
2023,Q4,Sep,Biden,Africa,208,45,163,2,199,7,179,29,0,3,205,0
2023,Q4,Sep,Biden,Asia,428,88,340,14,392,22,388,39,1,2,422,4
2023,Q4,Sep,Biden,Canada,8,4,4,3,4,1,8,0,0,0,8,0
2023,Q4,Sep,Biden,Central America & Caribbean,3741,1495,2246,746,2876,119,2885,850,6,213,3516,12
2023,Q4,Sep,Biden,Europe,172,55,117,21,125,26,136,36,0,18,151,3
2023,Q4,Sep,Biden,Mexico,2959,2216,743,1565,1332,62,2751,192,16,44,2885,30
2023,Q4,Sep,Biden,Oceania,19,10,9,6,13,0,14,5,0,0,19,0
2023,Q4,Sep,Biden,South America,2897,621,2276,130,2703,64,1803,1092,2,385,2505,7
2024,Q3,Apr,Biden,Africa,122,52,70,3,112,7,105,16,1,0,120,2
2024,Q3,Apr,Biden,Asia,286,90,196,14,257,15,243,42,1,2,281,3
2024,Q3,Apr,Biden,Canada,11,7,4,2,8,1,8,3,0,0,11,0
2024,Q3,Apr,Biden,Central America & Caribbean,3975,1996,1979,926,2943,106,3278,675,22,221,3730,24
2024,Q3,Apr,Biden,Europe,154,80,74,36,98,20,114,40,0,7,139,8
2024,Q3,Apr,Biden,Mexico,3893,2621,1272,1906,1894,93,3536,338,19,148,3724,21
2024,Q3,Apr,Biden,Oceania,17,9,8,4,13,0,16,1,0,0,17,0
2024,Q3,Apr,Biden,South America,1340,454,886,122,1193,25,903,429,8,178,1156,6
2024,Q4,Aug,Biden,Africa,127,59,68,5,122,0,117,9,1,3,122,2
2024,Q4,Aug,Biden,Asia,193,96,97,9,171,13,173,19,1,3,188,2
2024,Q4,Aug,Biden,Canada,9,7,2,6,3,0,9,0,0,0,9,0
2024,Q4,Aug,Biden,Central America & Caribbean,3354,2177,1177,835,2401,118,2932,407,15,129,3205,20
2024,Q4,Aug,Biden,Europe,161,82,79,36,86,39,125,35,1,13,145,3
2024,Q4,Aug,Biden,Mexico,3747,2866,881,1781,1927,39,3521,207,19,49,3668,30
2024,Q4,Aug,Biden,Oceania,12,10,2,3,9,0,12,0,0,0,12,0
2024,Q4,Aug,Biden,South America,1118,508,610,109,982,27,797,319,2,122,990,6
2024,Q1,Dec,Biden,Africa,90,41,49,4,84,2,77,13,0,0,89,1
2024,Q1,Dec,Biden,Asia,198,109,89,11,182,5,180,17,1,2,194,2
2024,Q1,Dec,Biden,Canada,8,4,4,3,5,0,8,0,0,0,8,0
2024,Q1,Dec,Biden,Central America & Caribbean,3069,2164,905,769,2253,47,2705,349,15,80,2971,18
2024,Q1,Dec,Biden,Europe,111,71,40,27,79,5,94,17,0,2,106,3
2024,Q1,Dec,Biden,Mexico,3335,2592,743,1562,1723,50,3101,218,16,61,3251,23
2024,Q1,Dec,Biden,Oceania,14,7,7,1,13,0,14,0,0,0,14,0
2024,Q1,Dec,Biden,South America,1123,628,495,93,992,38,866,251,6,83,1029,11
2024,Q2,Feb,Biden,Africa,128,50,78,5,114,9,108,20,0,4,121,3
