county,region,medinc_nonsnap,medinc_snap,income_gap,snap_hh,snap_below_pov,snap_white,snap_black,snap_with_children,snap_60plus,snap_disability,snap_1worker,snap_nowork,snap_2plus_workers,median_rent,grapi_35,economic_score
Accomack,Eastern Shore/Northern Neck,63397,30428.0000,32969.0000,0.1250,0.3820,0.4590,0.4540,0.4390,0.4250,0.4120,0.3810,0.1780,0.4420,973,0.3020,0.4583
Albemarle,Central Virginia,104881,31926.0000,72955.0000,0.0380,0.4470,0.5710,0.3090,0.4940,0.4430,0.5390,0.4780,0.2240,0.2980,1623,0.3910,0.4292
Alleghany,Southwest Virginia,58024,15176.0000,42848.0000,0.0880,0.6610,0.8410,0.1030,0.4130,0.3660,0.5100,0.4310,0.4000,0.1690,774,0.3500,0.6496
Amelia,Southside Virginia,69982,36818.0000,33164.0000,0.1260,0.3880,0.8220,0.1390,0.4940,0.4160,0.4940,0.1050,0.2940,0.6000,972,0.2700,0.4833
Amherst,Central Virginia,72339,26680.0000,45659.0000,0.1240,0.3770,0.6370,0.2810,0.4470,0.3440,0.5290,0.3440,0.2610,0.3960,842,0.4310,0.4915
Appomattox,Central Virginia,69580,24269.0000,45311.0000,0.1380,0.5240,0.7250,0.1920,0.4550,0.3270,0.3850,0.5400,0.1690,0.2910,883,0.2470,0.5366
Arlington,Northern Virginia,143636,26277.0000,117359.0000,0.0340,0.4170,0.2740,0.3250,0.3140,0.4800,0.4570,0.4410,0.2940,0.2650,2275,0.3120,0.4506
Augusta,Shenandoah Valley,83208,32917.0000,50291.0000,0.0620,0.3400,0.8580,0.0860,0.4420,0.4310,0.4770,0.4710,0.2360,0.2940,1057,0.3780,0.4065
Bath,Shenandoah Valley,71090,23309.0000,47781.0000,0.1030,0.5410,0.9670,0.0330,0.4040,0.5360,0.4860,0.6880,0.1610,0.1510,825,0.2350,0.5165
Bedford,Southside Virginia,80903,26694.0000,54209.0000,0.0640,0.4020,0.7590,0.1900,0.4780,0.3760,0.4190,0.4290,0.2150,0.3560,955,0.3920,0.4410
Bland,Southwest Virginia,61850,30833.0000,31017.0000,0.0740,0.4310,1.0000,0.0000,0.5230,0.4020,0.4200,0.5680,0.2370,0.1940,683,0.1410,0.4570
Botetourt,Roanoke Area,81783,39141.0000,42642.0000,0.0270,0.3390,0.9720,0.0140,0.4200,0.3920,0.5270,0.6490,0.1670,0.1850,951,0.1970,0.3420
Brunswick,Southside Virginia,60097,25586.0000,34511.0000,0.2130,0.4220,0.2410,0.7280,0.5080,0.4140,0.4090,0.4980,0.2120,0.2900,864,0.3270,0.5638
Buchanan,Southwest Virginia,46691,24345.0000,22346.0000,0.2540,0.5010,0.9960,0.0000,0.5510,0.3810,0.7350,0.4200,0.4460,0.1340,712,0.5130,0.7048
