place,county,region,urban_type,population,pop_density,tree_equity_score,tree_canopy_pct,heat_severity_F,health_burden,prop_poverty,prop_people_of_color,unemployment_rate,prop_children,prop_seniors
Abingdon,Washington County,Southwest Virginia,Suburban,1629,423.3,79.56,0.2514,-3.71,0.2777,0.2954,0.0771,0.0622,0.1542,0.2377
Adwolf,Smyth County,Southwest Virginia,Urban Core,1153,43022.39,79.0,0.0,-2.82,0.4281,0.0,0.0,0.0,0.0,0.0
Alexandria,Alexandria city,Northern Virginia,Urban Core,1180,4056.59,90.75,0.3129,7.59,0.3819,0.1847,0.447,0.0305,0.1678,0.1241
Altavista,Campbell County,Lynchburg Region,Exurban,1186,447.04,94.75,0.4963,0.95,0.66,0.3776,0.3294,0.1181,0.2056,0.1996
Annandale,Fairfax County,Northern Virginia,Urban Core,1745,2058.19,95.42,0.4633,4.08,0.3888,0.2056,0.6284,0.0349,0.1985,0.1718
Aquia Harbour,Stafford County,Northern Virginia,Suburban,1404,780.16,99.83,0.5906,-5.71,0.4151,0.1098,0.3178,0.0342,0.2556,0.0974
Arcola,Loudoun County,Northern Virginia,Exurban,1469,343.88,85.5,0.2911,5.9,0.2033,0.1598,0.6099,0.0046,0.2921,0.0348
Arlington,Arlington County,Northern Virginia,Urban Core,1156,3503.27,91.96,0.3159,7.19,0.2782,0.1276,0.3725,0.0273,0.1694,0.1097
Ashburn,Loudoun County,Northern Virginia,Suburban,1500,971.98,83.72,0.2553,8.75,0.3169,0.0981,0.4141,0.0292,0.2235,0.1463
Ashland,Hanover County,Richmond Metro,Suburban,1540,756.65,98.0,0.4779,-4.3,0.3139,0.3195,0.32,0.0399,0.1819,0.191
Atkins,Smyth County,Southwest Virginia,Suburban,766,745.67,73.75,0.157,-2.94,0.5609,0.3264,0.1256,0.0052,0.1357,0.1414
Bailey's Crossroads,Fairfax County,Northern Virginia,Urban Core,1693,4769.52,84.13,0.275,9.76,0.517,0.3439,0.6828,0.0716,0.2129,0.1558
